Rank,Median Household Income,Zip / Population,Zip,Population
1612,"$26,518 ",95585 / 454,95585,454
1678,"$13,750 ",95511 / 452,95511,452
1294,"$41,042 ",95345 / 448,95345,448
990,"$51,618 ",95420 / 442,95420,442
1615,"$26,250 ",95983 / 440,95983,440
1258,"$42,273 ",93224 / 429,93224,429
876,"$55,750 ",92239 / 428,92239,428
331,"$84,250 ",92678 / 427,92678,427
527,"$71,063 ",95920 / 417,95920,417
1476,"$34,464 ",96050 / 408,96050,408
318,"$85,000 ",94548 / 400,94548,400
629,"$65,625 ",96006 / 400,96006,400
1095,"$47,679 ",96090 / 397,96090,397
1416,"$36,875 ",96065 / 387,96065,387
1151,"$45,509 ",95257 / 385,95257,385
1650,"$21,838 ",96086 / 379,96086,379
582,"$67,917 ",93563 / 375,93563,375
1131,"$46,250 ",91759 / 369,91759,369
1282,"$41,522 ",96124 / 366,96124,366
782,"$58,854 ",93226 / 363,93226,363
422,"$77,250 ",93928 / 362,93928,362
1247,"$42,500 ",94971 / 362,94971,362
1439,"$36,000 ",95558 / 360,95558,360
983,"$51,875 ",95412 / 352,95412,352
1516,"$32,431 ",95432 / 348,95432,348
1430,"$36,406 ",93244 / 340,93244,340
599,"$66,983 ",93531 / 338,93531,338
1261,"$42,237 ",93549 / 334,93549,334
1638,"$24,032 ",91931 / 331,91931,331
127,"$106,458 ",90743 / 330,90743,330
741,"$60,556 ",95075 / 330,95075,330
852,"$56,563 ",96009 / 329,96009,329
1496,"$33,125 ",95555 / 329,95555,329
1640,"$23,750 ",95554 / 325,95554,325
704,"$62,109 ",92305 / 321,92305,321
21,"$153,269 ",94074 / 320,94074,320
215,"$94,420 ",94569 / 320,94569,320
555,"$69,702 ",95607 / 315,95607,315
446,"$75,556 ",95639 / 311,95639,311
843,"$56,683 ",95488 / 309,95488,309
1085,"$48,285 ",95675 / 309,95675,309
1657,"$20,972 ",96075 / 308,96075,308
1537,"$31,544 ",93621 / 307,93621,307
1649,"$21,875 ",96054 / 294,96054,294
